StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2.1,prolific_id,devices,education,first_language,age,gender,education_level,country_of_residence,occupation,Q4.8,need_for_cognition_complex_problems,need_for_cognition_thinking_responsibility,need_for_cognition_thinking_not_fun,need_for_cognition_avoid_challenge,need_for_cognition_enjoy_problem_solving,need_for_cognition_prefer_intellectual_difficult,political_leaning,news_reading_frequency,news_media_trust,news_sources,thinkingmode_quickskim_slowcarefulread,thinkingmode_absorbingseveral_focusingone,thinkingmode_spontaneous_deliberate,thinkingmode_easy_automatic_significanteffort,thinkingmode_connections_rules,thinkingmode_initialimpressions_regularlyupdating,newseval_knowledgebefore,newseval_accuracy,newseval_bias,newseval_informative,newseval_believable_trust,newseval_clear_wellwritten,thinkingmode_mean,newseval_mean,post_intervention_thinkingmode_mean,post_intervention_newseval_mean,post_intervention_thinkingmode_quickskim_slowcarefulread,post_intervention_thinkingmode_absorbingseveral_focusingone,post_intervention_thinkingmode_spontaneous_deliberate,post_intervention_thinkingmode_easy_automatic_significanteffort,post_intervention_thinkingmode_connections_rules,post_intervention_why_you_felt_like_this,post_intervention_newseval_knowledgebefore,post_intervention_newseval_accuracy,post_intervention_newseval_bias,post_intervention_newseval_informative,post_intervention_newseval_believable_trust,post_intervention_newseval_clear_wellwritten,is_propaganda_general,why_propaganda,is_propaganda_1,is_propaganda_2,is_propaganda_3,is_propaganda_4,is_propaganda_5,is_propaganda_6,is_propaganda_7,is_propaganda_8,tool_improvement_suggestions,tool_awareness_propaganda,tool_most_helpful,NPS.5_NPS_GROUP,nps_score,tool_other_feedback,Q7.5,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,Q392_First Click,Q392_Last Click,Q392_Page Submit,Q392_Click Count,Q371_First Click,Q371_Last Click,Q371_Page Submit,Q371_Click Count,Q393_First Click,Q393_Last Click,Q393_Page Submit,Q393_Click Count,Q382_First Click,Q382_Last Click,Q382_Page Submit,Q382_Click Count,Q410_First Click,Q410_Last Click,Q410_Page Submit,Q410_Click Count,Q2_First Click.1,Q2_Last Click.1,Q2_Page Submit.1,Q2_Click Count.1,Q3_1.1,Q13_First Click,Q13_Last Click,Q13_Page Submit,Q13_Click Count,Q15_First Click,Q15_Last Click,Q15_Page Submit,Q15_Click Count,PROLIFIC_PID
13.07.25 19:11,13.07.25 19:43,IP Address,148.74.12.21,100,1933,TRUE,13.07.25 19:43,R_7uDkFiBlP1TKPM5,,,,,40.8777,-73.908,anonymous,EN,I agree and I want to participate,664cef98bb2e4a28e1fce2cb,Desktop,Other,English,18 to 24,Female,"Some college/university, no degree",United States,"Service & Sales Workers – customer-facing roles (e.g. retail salesperson, waiter/waitress, hairdresser)","Yes, I will",4,5,1,4,4,5,4,Several times a week,8,"online news websites,social media platforms (e.g. Facebook, Twitter, Telegram)",5,1,7,4,1,4,2,4,5,7,4,7,3.6666666666666665,4.833333333333333,2.8,3.5,1,1,1,4,7,It was a familiar topic. It was also very short and to the point.,3,3,5,4,2,4,Yes,It was very focused on painting Ukraine in a negative light and Russia as a diplomat. I feel there's details missing and an obvious bias.,Yes,Yes,No,Yes,Yes,Yes,No,No,No improvements.,No,I thought it was just good for summarizing the article and situation.,Detractor,0,,,,,,,,,,,,,,,,,,,8.087,15.029,223.257,2,0,0,1149.652,0,0,0,67.56,0,5,1.182,140.358,141.175,12,1.183,140.358,141.175,12,
13.07.25 19:38,13.07.25 21:15,IP Address,148.252.158.230,100,5836,TRUE,13.07.25 21:15,R_2P5Yzy2uS3xlqsV,,,,,51.4964,-0.1224,anonymous,EN,I agree and I want to participate,66f2e478619ff9c3df3385ad,Desktop,Other,English,25 to 44,Female,Bachelor's degree,United Kingdom,"Managers – people who plan and direct the work of others (e.g. department head, project manager, store manager)","Yes, I will",6,6,2,2,5,5,5,Several times a week,11,"traditional media (e.g. newspapers, TV news channels),online news websites,social media platforms (e.g. Facebook, Twitter, Telegram)",7,7,3,2,2,6,7,5,5,7,6,7,4.5,6.166666666666667,3.8,3.8333333333333335,3,5,3,5,3,"I felt my understanding and reaction more natural as I read the article. For example when polyansky's claimed that Kyiv is not interested in resolving the conflict my brain  automatically treated that as a forceful, urgent statement.",3,4,3,6,2,5,Yes,I think it is propagandistic because it mainly provided  an unreliable view of the conflict and Ukraine's actions by spreading the official narrative of the Russian government.,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,None at the moment,Yes,The accuracy and how it thinks about the situation from different points of view.,Promoter,10,It was a fun conversation. ,,,,,,,,,,316.685,697.476,711.334,9,820.46,1002.177,1003.888,4,,,,,,,,,122.488,165.178,357.393,2,6,172.906,715.252,716.24,24,173.01,715.251,716.239,24,
13.07.25 22:52,13.07.25 23:29,IP Address,194.152.132.107,100,2238,TRUE,13.07.25 23:29,R_8EBdtMwq13xqR4L,,,,,51.4964,-0.1224,anonymous,EN,I agree and I want to participate,672628f1dd186b536530f278,Desktop,Other,English,25 to 44,Male,Master's degree,United Kingdom,"Managers – people who plan and direct the work of others (e.g. department head, project manager, store manager)","Yes, I will",4,5,1,1,6,6,4,Once a week,9,"traditional media (e.g. newspapers, TV news channels),online news websites,social media platforms (e.g. Facebook, Twitter, Telegram)",7,1,2,5,2,5,1,6,5,7,5,7,3.6666666666666665,5.166666666666667,2.8,4.833333333333333,1,5,1,5,2,I felt spontaneous while reading the article has i am continuously consuming more fact ,1,6,4,7,5,6,Yes,Because there was been biased in the article ,No,Yes,Yes,Yes,Yes,Yes,No,No,The first article is too tiny and not well bold for reading. ,Yes,The way facts are been stated ,Promoter,9,It is interesting having an interaction with ,,1.464,3.021,3.957,3,0,0,194.193,0,,,,,,,,,,,,,,,,,11.185,446.39,447.271,27,7,3.067,204.122,205.054,24,3.068,204.122,205.054,24,
16.07.25 08:33,16.07.25 09:33,IP Address,216.120.189.51,100,3633,TRUE,16.07.25 09:33,R_2CflcKKkK0djDmo,,,,,51.5081,-0.1278,anonymous,EN,I agree and I want to participate,678969200a76abe09fd2a75c,Desktop,Other,English,25 to 44,Male,Master's degree,United Kingdom,"Clerical Support Workers – office and admin tasks (e.g. receptionist, data entry clerk, office assistant)","Yes, I will",6,5,2,4,6,6,2,Several times a week,9,"traditional media (e.g. newspapers, TV news channels),social media platforms (e.g. Facebook, Twitter, Telegram)",6,6,5,6,2,2,6,5,6,5,4,5,4.5,5.166666666666667,3.8,4.166666666666667,7,2,2,2,6,"with the war going on and looking at the lives and properties at stake, the only thing the leader of Ukraine is thinking of is himself remaining in power to God knows when. so i am so deliberate to know know about the happenings around him the country of Ukraine and what the international community are doing towards that.",2,4,5,5,4,5,Yes,"i think there is something going on in Ukraine that is not clearly presented to the world to know and maybe there is a move to bring in another interest of others somewhere, so the leader need to be boot out.",Yes,No,Yes,Yes,Yes,Yes,Yes,No,none ,Yes,the summery is great and well captured ,Promoter,9,none,,,,,,,,,,,,,,,,,,0,0,1031.62,0,0,0,313.319,0,0,0,218.85,0,1,23.698,279.648,282.54,10,23.698,279.648,282.54,10,
16.07.25 09:34,16.07.25 09:54,IP Address,107.122.93.61,100,1243,TRUE,16.07.25 09:54,R_1UWoeYxaUc7eFOk,,,,,44.9834,-93.2622,anonymous,EN,I agree and I want to participate,65e7457d155f3a17e6a570a0,Desktop,Other,English,25 to 44,Male,High school diploma or equivalent,United States,"Craft & Related Trades Workers – hands-on skilled trades (e.g. carpenter, plumber, electrician)","Yes, I will",3,5,2,3,5,5,5,Never,8,"social media platforms (e.g. Facebook, Twitter, Telegram)",6,7,6,2,2,2,1,4,5,4,4,5,4.166666666666667,3.8333333333333335,4,4.5,6,2,3,3,6,I just read the article thoroughly and formed my own conclusions. ,1,5,6,5,3,7,Yes,There is propaganda everywhere. Everyone has their own agenda,Yes,No,No,Yes,Yes,Yes,Yes,No,Just that it works. It only said one thing to me and when I responded it got stuck on processing my reply. ,No,N/a,Detractor,0,The tool didn’t work well,,3.917,221.085,237.317,7,408.368,408.368,409.495,1,,,,,,,,,,,,,,,,,30.981,30.981,36.367,1,6,1.93,120.155,120.068,29,1.93,120.155,120.068,29,
16.07.25 10:01,16.07.25 10:41,IP Address,89.64.67.42,100,2415,TRUE,16.07.25 10:41,R_8I5JhQlMMwzueBN,,,,,52.2299,21.0093,anonymous,EN,I agree and I want to participate,60bf28df4926a8b6391df575,Desktop,Other,English,18 to 24,Male,Bachelor's degree,Poland,"Managers – people who plan and direct the work of others (e.g. department head, project manager, store manager)","Yes, I will",5,6,2,3,6,6,3,Several times a week,8,online news websites,6,7,3,4,6,3,3,4,3,6,5,5,4.833333333333333,4.333333333333333,3.4,4.333333333333333,4,2,3,2,6,"When I read the article, my thoughts were more deliberate because I was trying to understand the situation and the reasons behind what the Russian diplomat said. It wasn’t just a quick emotional reaction, but more thinking about what it means and why they said it.",4,5,4,5,3,5,Yes,"It mainly presents the Russian diplomat’s point of view without much balance or evidence, and it paints Ukraine and Zelensky in a very negative light.",Yes,No,Yes,Yes,Yes,No,No,No,na,Yes,The most helpful part was the clear explanations,Detractor,6,,,0,0,235.143,0,0,0,1658.913,0,,,,,,,,,,,,,,,,,0,0,38.838,0,5,2.567,95.463,95.874,17,2.567,95.463,95.874,17,
16.07.25 10:09,16.07.25 11:27,IP Address,216.120.189.231,100,4634,TRUE,16.07.25 11:27,R_8ZE7zFx58yifDoG,,,,,51.5081,-0.1278,anonymous,EN,I agree and I want to participate,674b35aef9b2ae3dcdd26213,Desktop,Other,English,25 to 44,Male,Bachelor's degree,United Kingdom,"Technicians & Associate Professionals – support roles requiring specialized training (e.g. lab technician, paralegal, IT support)","Yes, I will",1,7,1,1,5,6,4,Once a day,8,online news websites,6,3,6,1,4,6,3,6,2,7,5,7,4.333333333333333,5,4,5.666666666666667,1,1,5,7,6,I have come across this article online and find it very interesting. seeing it here has convinced me greatly that it could be true that the Ukraine President is not seeking for peace but rather the continuation of the ongoing war between them and the Russians ,7,7,1,6,7,6,No,Because i find the details of the information to be true,No,No,No,No,No,No,No,No,The AI tool is slow and needs improvement,No,"It can summaries article, but is slow at interpreting the information",Detractor,3,,,,,,,,,,,68.892,109.964,211.531,11,0,0,2073.652,0,,,,,,,,,0,0,471.145,0,6,2.547,61.515,80.824,11,2.547,61.515,80.824,11,
16.07.25 11:29,16.07.25 11:43,IP Address,86.16.151.214,100,855,TRUE,16.07.25 11:43,R_80nG733k3H45mA9,,,,,53.8017,-1.7848,anonymous,EN,I agree and I want to participate,6718b63a1e293387ef30d259,Desktop,Other,English,45 to 64,Male,Bachelor's degree,United Kingdom,"Managers – people who plan and direct the work of others (e.g. department head, project manager, store manager)","Yes, I will",5,4,4,4,4,5,3,Multiple times a day,9,online news websites,5,3,4,4,3,3,4,4,6,6,5,5,3.6666666666666665,5,4.2,3.5,4,5,4,3,5,Felt like the article wasnt just presenting facts but more steering me in a certain direction. ,2,5,4,3,4,3,Yes,It steered me in a certain direction and all these news articles tend to have some affiliation with a coutnry,No,Yes,No,Yes,No,No,Yes,No,Maybe have ways i can adapt things to make it work for me,Yes,It summed things up well and took bias away,Passive,8,,,0,0,115.403,0,0,0,101.41,0,,,,,,,,,,,,,,,,,190.772,190.772,192.546,1,2,1.489,43.919,45.958,20,1.489,43.919,45.958,20,
16.07.25 12:08,16.07.25 13:02,IP Address,41.113.201.124,100,3223,TRUE,16.07.25 13:02,R_8XgM0VIEyjzRuqB,,,,,-26.1917,28.0523,anonymous,EN,I agree and I want to participate,601129f77e0c21000b0c408a,Desktop,Other,English,25 to 44,Male,Bachelor's degree,South Africa,"Professionals – highly-skilled, degree-level work (e.g. doctor, lawyer, engineer, teacher, accountant)","Yes, I will",5,4,4,2,5,4,3,Several times a week,9,"traditional media (e.g. newspapers, TV news channels),online news websites,social media platforms (e.g. Facebook, Twitter, Telegram)",4,5,7,4,2,5,2,4,5,6,4,6,4.5,4.5,2.4,5,4,2,1,3,2,My thoughts felt more spontaneous because I was taking in the information without any biases. I was mainly interested in understanding the content of the article than validating a preconceived notion.,6,4,6,4,3,7,Yes,I think the article was propagandistic because it was very one sided.,Yes,No,Yes,Yes,Yes,Yes,Yes,No,,No,What was most helpful was the tool's ability to follow up on statements that I made.,Passive,7,No,,,,,,,,,,,,,,,,,,707.118,707.118,807.113,1,0,0,1089.61,0,0,0,205.595,0,2,3.147,153.942,154.946,12,3.147,153.839,154.945,12,
16.07.25 11:45,16.07.25 13:16,IP Address,216.120.189.188,100,5495,TRUE,16.07.25 13:16,R_2BEOxMhLxLCns6B,,,,,51.5081,-0.1278,anonymous,EN,I agree and I want to participate,676d220cd6e7101ccba18ba5,Desktop,Other,English,25 to 44,Male,Bachelor's degree,United Kingdom,"Managers – people who plan and direct the work of others (e.g. department head, project manager, store manager)","Yes, I will",4,4,2,2,6,5,4,Once a week,9,"social media platforms (e.g. Facebook, Twitter, Telegram)",5,6,4,3,4,5,3,5,4,5,4,6,4.5,4.5,3.8,4.333333333333333,5,3,2,5,4,it was an easy to read article all the information provided were clear and straight forward,4,4,3,5,4,6,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,none,Yes,got more detailed information about the topic,Passive,7,none,,,,,,,,,,85.86,237.508,807.397,7,0,0,2927.976,0,,,,,,,,,0,0,163.669,0,5,35.973,69.231,71.037,8,35.972,69.23,71.036,8,
