StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2.1,prolific_id,devices,education,first_language,age,gender,education_level,country_of_residence,occupation,Q4.8,need_for_cognition_complex_problems,need_for_cognition_thinking_responsibility,need_for_cognition_thinking_not_fun,need_for_cognition_avoid_challenge,need_for_cognition_enjoy_problem_solving,need_for_cognition_prefer_intellectual_difficult,political_leaning,news_reading_frequency,news_media_trust,news_sources,thinkingmode_quickskim_slowcarefulread,thinkingmode_absorbingseveral_focusingone,thinkingmode_spontaneous_deliberate,thinkingmode_easy_automatic_significanteffort,thinkingmode_connections_rules,thinkingmode_initialimpressions_regularlyupdating,newseval_knowledgebefore,newseval_accuracy,newseval_bias,newseval_informative,newseval_believable_trust,newseval_clear_wellwritten,thinkingmode_mean,newseval_mean,post_intervention_thinkingmode_mean,post_intervention_newseval_mean,post_intervention_thinkingmode_quickskim_slowcarefulread,post_intervention_thinkingmode_absorbingseveral_focusingone,post_intervention_thinkingmode_spontaneous_deliberate,post_intervention_thinkingmode_easy_automatic_significanteffort,post_intervention_thinkingmode_connections_rules,post_intervention_why_you_felt_like_this,post_intervention_newseval_knowledgebefore,post_intervention_newseval_accuracy,post_intervention_newseval_bias,post_intervention_newseval_informative,post_intervention_newseval_believable_trust,post_intervention_newseval_clear_wellwritten,is_propaganda_general,why_propaganda,is_propaganda_1,is_propaganda_2,is_propaganda_3,is_propaganda_4,is_propaganda_5,is_propaganda_6,is_propaganda_7,is_propaganda_8,tool_improvement_suggestions,tool_awareness_propaganda,tool_most_helpful,NPS.5_NPS_GROUP,nps_score,tool_other_feedback,Q7.5,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,Q392_First Click,Q392_Last Click,Q392_Page Submit,Q392_Click Count,Q371_First Click,Q371_Last Click,Q371_Page Submit,Q371_Click Count,Q393_First Click,Q393_Last Click,Q393_Page Submit,Q393_Click Count,Q382_First Click,Q382_Last Click,Q382_Page Submit,Q382_Click Count,Q2_First Click.1,Q2_Last Click.1,Q2_Page Submit.1,Q2_Click Count.1,Q3_1.1,Q13_First Click,Q13_Last Click,Q13_Page Submit,Q13_Click Count,Q15_First Click,Q15_Last Click,Q15_Page Submit,Q15_Click Count,PROLIFIC_PID
2025-07-13 18:22:24,2025-07-13 18:51:59,IP Address,2.217.176.4,100,1774,True,2025-07-13 18:51:59,R_8m6tdnzb3PNforL,,,,,54.6581,-5.9045,anonymous,EN,I agree and I want to participate,5bbb5e3f118c0600013c3202,Desktop,Other,English,25 to 44,Female,Doctorate degree,United Kingdom,"Professionals – highly-skilled, degree-level work (e.g. doctor, lawyer, engineer, teacher, accountant)","Yes, I will",7,6,1,1,7,4,4,Once a day,9,"online news websites,social media platforms (e.g. Facebook, Twitter, Telegram),news apps",7,6,7,7,4,2,6,5,7,6,6,7,5.5,6.166666666666667,3.4,4.0,2,4,2,2,7,My though process was very deliberate as my views on this subject are already quite strong. Everyone in the world who isn't Russian or Trump has seen the living nightmare that Ukraine has gone through so I have very strong reactions to this news artical,7,1,7,5,2,2,Yes,It is very biased an it is trying to make it sound like that everything that has happened is Zelenskys fault which it isn't,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,It was fine as it was,Yes,It was clever and precise in how it worded and explained things,Promoter,10,,,,,,,,,,,,,,,,,,,24.18,103.348,104.677,5,11.356,27.71,41.171,3,5,1.3,62.957,63.602,14,1.3,62.958,63.602,14,
2025-07-13 18:32:07,2025-07-13 19:02:44,IP Address,47.227.162.238,100,1837,True,2025-07-13 19:02:45,R_1IUZAt3zpBMTnfH,,,,,39.7668,-86.4013,anonymous,EN,I agree and I want to participate,5e6445748a25da1ce689a14c,Desktop,Other,English,25 to 44,Female,"Some college/university, no degree",United States,"Technicians & Associate Professionals – support roles requiring specialized training (e.g. lab technician, paralegal, IT support)","Yes, I will",3,4,3,2,6,6,1,Once a week,10,"traditional media (e.g. newspapers, TV news channels),online news websites,social media platforms (e.g. Facebook, Twitter, Telegram),news apps",6,2,6,2,2,2,6,6,7,5,7,6,3.3333333333333335,6.166666666666667,5.0,4.333333333333333,6,6,3,4,6,"I think because I havent been keeping up with the conflict, I was taking in a lot of new information at the same time. Therefore I slowed down a lot and reread. ",3,4,5,5,5,4,Yes,"I think it's accurate, I believe that the people quoted said and think those things. but they didnt even offer the opposing perspective, or state what people on the other side think is the barrier to achieving peace. on the other hand I dont think that every article needs to have an overview. this article is about the perspective of a Russian diplomat, and there are plenty of other articles about what the US State Department thinks, what Zelensky thinks, what Trump thinks. but I suppose the decision to report it or deem it valuable of reporting is propagandistic",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"it paused on me and said it was ""thinking""! ",No,"honestly, im not a fan of AI and think it's a barrier to critical thinking. so respectfully, I didnt find anything about it helpful ",Detractor,0,,,,,,,,,,,0,0,112.282,0,0,0,635.258,0,,,,,0,0,456.991,0,7,31.905,241.288,244.1,13,31.908,241.288,244.1,13,
2025-07-13 18:53:15,2025-07-13 20:23:38,IP Address,216.120.189.234,100,5422,True,2025-07-13 20:23:39,R_21T4XCzZWeKEaQM,,,,,51.5081,-0.1278,anonymous,EN,I agree and I want to participate,67269f439696d166fbb74e09,Desktop,Other,English,18 to 24,Male,Bachelor's degree,United Kingdom,"Professionals – highly-skilled, degree-level work (e.g. doctor, lawyer, engineer, teacher, accountant)","Yes, I will",4,6,1,2,7,5,2,Multiple times a day,11,"traditional media (e.g. newspapers, TV news channels),online news websites",7,2,7,7,6,6,4,2,7,2,2,6,5.833333333333333,3.8333333333333335,6.8,5.833333333333333,6,7,7,7,7,"I was carefully analysing the words and tone of the author while reading the article, hence my thoughts were deliberate.",6,6,4,7,5,7,No,The exaggerations in the passages,Yes,No,No,No,Yes,No,Yes,No,"The AI froze several times after the first speech, I think it should be worked on",Yes,It analysis of the passage made me learn to detect propaganda better,Passive,8,The AI froze several times during the thinking process. That affected my experience with the tool negatively.,,0,0,919.511,0,0,0,2080.496,0,,,,,,,,,,,,,73.883,73.883,679.273,1,7,42.061,134.287,147.299,16,42.061,134.288,147.299,16,
2025-07-13 22:03:44,2025-07-13 22:33:07,IP Address,5.69.6.76,100,1763,True,2025-07-13 22:33:08,R_8HZDnndDdkpiXRN,,,,,50.5446,-4.1503,anonymous,EN,I agree and I want to participate,67154e688dff95452b10215d,Desktop,Other,English,18 to 24,Male,Bachelor's degree,United Kingdom,"Elementary Occupations – routine manual or simple tasks (e.g. cleaner, porter, shelf stacker)","Yes, I will",6,6,1,1,5,6,5,Multiple times a day,9,"traditional media (e.g. newspapers, TV news channels),online news websites,social media platforms (e.g. Facebook, Twitter, Telegram)",7,3,4,5,4,5,2,4,5,5,5,6,4.666666666666667,4.5,4.2,3.6666666666666665,6,6,4,3,2,"It was a topic qutie new to me, so a skim gave me more context",2,4,1,5,5,5,,,Yes,Yes,Yes,Yes,No,No,No,Yes,Faster loading dialouge,No,It forced me to answer questions,Detractor,4,,,,,,,,,,,0,0,121.797,0,79.106,155.834,1337.867,2,,,,,0.868,0.868,2.236,1,2,12.781,15.277,15.634,9,12.78,15.277,15.633,9,
2025-07-13 23:32:49,2025-07-14 00:19:53,IP Address,102.22.207.122,100,2823,True,2025-07-14 00:19:54,R_8JWqtYpV7Jq4GMF,,,,,-26.2309,28.0583,anonymous,EN,I agree and I want to participate,67feb525a7759f2034a95f22,Desktop,Other,English,18 to 24,Male,Master's degree,South Africa,"Managers – people who plan and direct the work of others (e.g. department head, project manager, store manager)","Yes, I will",4,4,1,1,7,5,4,Multiple times a day,10,"traditional media (e.g. newspapers, TV news channels),online news websites,social media platforms (e.g. Facebook, Twitter, Telegram),news apps",7,7,4,3,6,5,1,2,3,5,1,7,5.333333333333333,3.1666666666666665,4.8,4.333333333333333,7,4,2,7,4,"When reading the article about the conflict between Russia and Ukraine, my thoughts were spontaneous due to the complex and multifaceted nature of the issue, which triggered various thoughts and connections in my mind. The discussion of human suffering, displacement, and loss of life evoked feelings of empathy and concern, leading to spontaneous thoughts about the situation's impact on civilians. ",7,2,3,6,1,7,Yes,"based on the article, I think the story might be seen as having elements of propaganda due to its one-sided presentation of information and potential biases. The article's focus on specific aspects of the conflict, such as the Russian diplomat's statements and the Ukrainian president's actions, might be interpreted as an attempt to shape public opinion or influence perceptions of the conflict.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, consider enhancing transparency by providing clear information about data sources and methodologies.,Yes,The most helpful aspect of the information provided by the tool is likely its ability to provide quick access to relevant data and insights enabling deeper understanding,Promoter,10,,,,,,,,,,,,,,,,,,,458.819,458.819,579.259,1,0,0,70.002,0,7,1.914,183.088,187.248,13,1.917,183.089,187.248,13,
2025-07-15 15:25:04,2025-07-15 16:16:25,IP Address,85.255.233.163,100,3081,True,2025-07-15 16:16:26,R_2ndsNXfYAn94jmR,,,,,51.4964,-0.1224,anonymous,EN,I agree and I want to participate,5c921106b788a2000170709f,Desktop,Other,English,25 to 44,Male,Bachelor's degree,United Kingdom,"Elementary Occupations – routine manual or simple tasks (e.g. cleaner, porter, shelf stacker)","Yes, I will",6,5,3,2,6,6,4,Several times a week,9,"online news websites,social media platforms (e.g. Facebook, Twitter, Telegram)",5,5,2,5,6,1,3,2,7,2,2,2,4.0,3.0,3.2,3.1666666666666665,2,3,3,1,7,"I've read and heard a fair bit about this. Also, my father was an army officer and I've spoken to him regularly about the ongoing conflict, as well as the history of Russia. In a similar manner to Trump's administration, Putin causes doubt by accusing his enemy of what he's doing. The fact that Putin could accuse anyone of being a dictator and for it to be considered serious is laughable. It's a few scraps of truth, spun to suit their narrative. As far as I know, Zelensky is well within his right to remain president because his country is at war; how would people even vote when some aren't even in the country and many are fighting? It jsut doesn't make sense.",6,2,7,1,1,2,Yes,"Russia is basically saying what they're doing. If they accuse their enemy of doing something, it becomes that much more difficult for them to be held accountable when they do it.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,It was quite repetitive. It would be good to have it provide some facts to show the truth is being distorted.,No,I'm not sure; I've become quite aware of the format these sorts of stories take and like to think I can spot the spin. It was good to be able to talk and listen to a response.,Detractor,6,"It was interesting to use, but could do with some refinement.",,,,,,,,,,137.933,256.985,260.424,3,0,0,1698.421,0,,,,,0,0,78.356,0,6,13.722,52.912,92.82,9,13.722,52.912,92.82,9,
2025-07-15 17:44:06,2025-07-15 18:38:43,IP Address,41.90.189.161,100,3277,True,2025-07-15 18:38:44,R_29ODcx6TLeZvwUF,,,,,-1.2841,36.8155,anonymous,EN,I agree and I want to participate,66f3f19a6de8f0b0cdf9eb45,Desktop,Other,English,18 to 24,Male,Bachelor's degree,United Kingdom,"Managers – people who plan and direct the work of others (e.g. department head, project manager, store manager)","Yes, I will",5,5,2,3,5,5,5,Several times a week,10,"traditional media (e.g. newspapers, TV news channels),online news websites,social media platforms (e.g. Facebook, Twitter, Telegram)",6,6,6,6,6,6,3,5,5,5,5,5,6.0,4.666666666666667,6.0,4.0,6,7,6,6,5,the article involve political claims and required careful analysis ,3,3,4,6,3,5,Yes,it represents only the Russian perspective and criticizing Zelensky without offering Ukraine's sides or  a neutral point,No,Yes,Yes,No,Yes,Yes,Yes,Yes,,Yes,It increased my knowledge about politics in Germany,Passive,8,None at the moment,,30.187,89.523,274.862,3,0,0,2169.028,0,,,,,,,,,,,,,0,0,70.131,0,6,76.135,155.322,156.651,14,76.141,155.323,156.652,14,
2025-07-15 17:46:51,2025-07-15 18:45:59,IP Address,143.58.158.181,100,3548,True,2025-07-15 18:46:00,R_8E0FQzfXSVPzaQ8,,,,,51.5081,-0.1278,anonymous,EN,I agree and I want to participate,5ef7c6094ffead5091899f98,Desktop,Other,English,25 to 44,Male,Bachelor's degree,United Kingdom,"Technicians & Associate Professionals – support roles requiring specialized training (e.g. lab technician, paralegal, IT support)","Yes, I will",4,6,3,5,5,4,5,Rarely,7,"online news websites,social media platforms (e.g. Facebook, Twitter, Telegram)",5,5,5,5,4,5,2,3,5,3,3,4,4.833333333333333,3.3333333333333335,5.8,3.6666666666666665,5,6,6,6,6,Because I was focusing on the words. I was reading it and picturing it in my head,5,5,3,2,3,4,,,No,No,No,Yes,No,No,Yes,No,It should transcribe the speaker more accurately,No,It had a good tone,Detractor,6,,,,,,,,,,,352.445,427.561,436.995,4,0,0,867.075,0,,,,,20.147,297.717,323.563,3,6,12.747,29.256,30.959,11,12.749,29.256,30.959,11,
2025-07-15 19:35:33,2025-07-15 19:50:58,IP Address,146.71.2.109,100,925,True,2025-07-15 19:50:59,R_7rjVWSh1yGeO9t2,,,,,37.751,-97.822,anonymous,EN,I agree and I want to participate,664e2d4a26686cecdfd660eb,Desktop,Other,English,25 to 44,Male,Master's degree,United States,"Professionals – highly-skilled, degree-level work (e.g. doctor, lawyer, engineer, teacher, accountant)","Yes, I will",6,6,2,2,6,6,5,Multiple times a day,7,"traditional media (e.g. newspapers, TV news channels),online news websites,social media platforms (e.g. Facebook, Twitter, Telegram)",7,1,6,2,2,4,7,7,4,6,7,7,3.6666666666666665,6.333333333333333,3.2,4.5,2,2,2,4,6,it is an important topic and as such I want to make sure I am carefully weighing the sides,7,2,7,4,4,3,Yes,"it was clearly written with an agenda to convince the reader that Russia is right and Ukraine, specifically zelenski is wrong",Yes,Yes,No,Yes,Yes,Yes,Yes,No,the tool was terribly stuck to its narrative.,No,"nothing, worthless tool",Detractor,0,,,,,,,,,,,80.788,141.807,147.575,4,0,0,329.353,0,,,,,20.915,32.73,47.138,4,6,1.198,80.494,81.67,18,1.198,80.494,81.67,18,
2025-07-15 19:17:29,2025-07-15 19:52:05,IP Address,81.79.173.67,100,2075,True,2025-07-15 19:52:06,R_8m2iDAHgDMR7Xwd,,,,,52.5026,-1.7815,anonymous,EN,I agree and I want to participate,5d07fc124e753800168ccafe,Desktop,Other,English,18 to 24,Male,Bachelor's degree,United Kingdom,"Professionals – highly-skilled, degree-level work (e.g. doctor, lawyer, engineer, teacher, accountant)","Yes, I will",7,6,2,2,6,6,7,Multiple times a day,7,"traditional media (e.g. newspapers, TV news channels),social media platforms (e.g. Facebook, Twitter, Telegram)",5,7,6,2,2,1,7,2,7,1,3,5,3.8333333333333335,4.166666666666667,2.4,3.6666666666666665,2,2,2,1,5,"I did think more deeply about the article than I usually would because I am being analysed on my understanding in the study. However, I largely stuck to my initial impressions after realising that the article was written by RT, and so was likely going to be anti-Ukraine propaganda. ",5,2,7,2,2,4,Yes,It mentioned the RT as a source and it seems likely the article is from the RT. RT is the Russian state media outet.,Yes,No,Yes,Yes,Yes,No,Yes,No,It took a while to process the speech and I think a speech->text reply (or text->text) tool might be easier.,No,"I think it challenged some of my assumptions, but it is an area where I know a lot and so I felt reasonably confident in my beliefs and initial summary of the article.",Detractor,6,,,,,,,,,,,,,,,,,,,27.505,119.321,120.945,4,0,0,40.048,0,6,1.453,60.951,62.387,15,1.454,60.951,62.387,15,
