StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2.1,Q3.1,Q3.2,Q3.3,Q3.4,Q4.2,Q4.3,Q4.4,Q4.5_1,Q415,Q4.8,Q5.1_1,Q5.1_2,Q5.1_3,Q5.1_4,Q5.1_5,Q5.1_6,Q7.1_1,Q7.2_1,Q7.3_1,Q7.4,Q7.5,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q396_First Click,Q396_Last Click,Q396_Page Submit,Q396_Click Count,Q397_1,Q398_1,Q399_1,Q400_1,Q401_1,Q402_1,Q403_1,Q403_2,Q403_3,Q403_4,Q403_5,Q403_6,Q405_First Click,Q405_Last Click,Q405_Page Submit,Q405_Click Count,Q406_1,Q407_1,Q408_1,Q409_1,Q410_1,Q411_1,Q412_1,Q412_2,Q412_3,Q412_4,Q412_5,Q412_6,IM_1.2_First Click,IM_1.2_Last Click,IM_1.2_Page Submit,IM_1.2_Click Count,IM_1.3_1,IM_1.4_1,IM_1.5_1,IM_1.6_1,IM_1.7_1,IM_1.8_1,IM_1.9,IM_1.10_1,IM_1.10_2,IM_1.10_3,IM_1.10_4,IM_1.10_5,IM_1.10_6,IM_1.11,IM_1.12,IM_1.13_First Click,IM_1.13_Last Click,IM_1.13_Page Submit,IM_1.13_Click Count,IM_1.14#1_1,IM_1.14#1_2,IM_1.14#1_3,IM_1.14#1_4,IM_1.14#1_5,IM_1.14#1_6,IM_1.14#1_7,IM_1.14#1_8,IM_1.15_First Click,IM_1.15_Last Click,IM_1.15_Page Submit,IM_1.15_Click Count,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Consent Form



 

Introduction

In this study, the Digital Society Initiative of the University of Zurich is researching the perceptions and experiences of digital news readers. We greatly value your participation in our research and want to ensure you that you cannot do anything wrong and there are no right or wrong answers.

 

Scope and Procedure
If you decide to take part in this study, the following activities take place:


	You will participate in an online survey.
	The survey will take approximately 20 minutes to complete.
	You will interact with propaganda.



The following information will be collected during the study:  


	Basic demographic information.
	Your anonymous responses to questions about your understanding and interpretation of the news articles.




Risks Associated with Participation
Participation in the study does not involve any considerable risks that we are aware of. However, we would like to note that the study involves reading news articles about contemporary topics that can potentially cause emotional reactions. Please be aware that during this study, you may be exposed to articles that might contain misinformation or propaganda. These materials are used specifically for research purposes. We kindly request that you do not share, reproduce, or distribute any content, including articles, images, or other media, that you come across during your participation in this study. This restriction is crucial to ensure that potentially misleading or incorrect information is not propagated outside of the research context.



You have the option to end your participation at any time during the study without having to provide a reason. All information you have shared with us up to this point may be stored and used for research.



This experiment has been approved by the Ethics Committee of the University of Zurich.

 
Consent
By signing this form, you acknowledge the following statements:


	You permit your anonymized data to be used by other researchers of the University of Zurich and the University of Lausanne for further studies and analyses.
	You authorize the use of your anonymized data for internal or external publications, as well as scientific journals and conference proceedings.
	You have been informed about the purpose and conditions of your study participation.
	You are at least 18 years old.
	You had enough time to decide to participate.
	You agree to participate.



Giving consent to this form in no way waives your legal rights or releases the researchers or institutions involved from their legal or professional responsibilities. You are free to withdraw from the study at any time.



If you have any further questions about your participation in this study at a later point in time, please contact Kilian Sprenkamp (kilian.sprenkamp@uzh.ch).",Please enter your Prolific ID:,Which devices are you currently using?,"Education. Subject.


Participants were asked the following question: What subject do you study?","First Language

 

Participants were asked the following question: What is your first language?",What is your age?,What is your gender?,What is your highest level of education?,What country do you reside in? - Country of residence,Click to write the question text:,"We care about the quality of our survey data. For us to get the most accurate measures of your opinions, it is important that you provide natural / truthful answers to each question in the survey.

Do you commit to providing natural / truthful answers to the questions in this survey?","Thought processes

 

Please rate your degree of agreement with the following statements from 1 (strongly disagree) to 7 (strongly agree). - 1. I would prefer complex to simple problems.","Thought processes

 

Please rate your degree of agreement with the following statements from 1 (strongly disagree) to 7 (strongly agree). - 2. I like to have the responsibility of handling a situation that requires a lot of thinking.","Thought processes

 

Please rate your degree of agreement with the following statements from 1 (strongly disagree) to 7 (strongly agree). - 3. Thinking is not my idea of fun.","Thought processes

 

Please rate your degree of agreement with the following statements from 1 (strongly disagree) to 7 (strongly agree). - 4. I would rather do something that requires little thought than something that is sure to challenge my thinking abilities.","Thought processes

 

Please rate your degree of agreement with the following statements from 1 (strongly disagree) to 7 (strongly agree). - 5. I really enjoy a task that involves coming up with new solutions to problems.","Thought processes

 

Please rate your degree of agreement with the following statements from 1 (strongly disagree) to 7 (strongly agree). - 6. I would prefer a task that is intellectual, difficult, and important to one that is somewhat important but does not require much thought.","Pre-Reading QuestionsYour Thinking ModeFor each of the following questions, please indicate how - Extreme left [1]:Extreme right [7]",How frequently do you read news articles?,How much do you trust the news media in general? - no trust at all [1]:complete trust [7],Which sources do you typically use to consume news? (Select all that apply),Please specify the other sources you use to consume news (if applicable):,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Post-Interaction Questionnaire 1 / 2


Your Thinking Mode


For each of the following questions, please indicate how you felt while reading the news articles on a scale from 1 to 7.



Did you feel like your thought process was more like a... - Quick skim [1]:Slow, careful read [7]",Did you feel like you were... - Absorbing several details at once [1]:Focusing on one detail at a time [7],Did your thoughts feel more... - Spontaneous [1]:Deliberate  [7],Did your thinking felt... - Easy and automatic [1]:Like it required significant mental effort [7],Were you more likely to... - Make connections between details instinctively [1]:Apply a set of rules or criteria to evaluate details [7],Did you find yourself... - Sticking to your initial impressions [1]:Regularly updating your thoughts as you read more [7],"Post-Interaction Questionnaire 2 / 2




News Evaluation

For each of the following questions, please indicate how you felt while reading and interpreting the news articles (1 – not at all, 7 – very much). - Before reading the news article, how much knowledge did you have about the topic covered?","Post-Interaction Questionnaire 2 / 2




News Evaluation

For each of the following questions, please indicate how you felt while reading and interpreting the news articles (1 – not at all, 7 – very much). - How accurate do you find the news article?","Post-Interaction Questionnaire 2 / 2




News Evaluation

For each of the following questions, please indicate how you felt while reading and interpreting the news articles (1 – not at all, 7 – very much). - How biased do you think the news article is?","Post-Interaction Questionnaire 2 / 2




News Evaluation

For each of the following questions, please indicate how you felt while reading and interpreting the news articles (1 – not at all, 7 – very much). - How informative do you find the news article?","Post-Interaction Questionnaire 2 / 2




News Evaluation

For each of the following questions, please indicate how you felt while reading and interpreting the news articles (1 – not at all, 7 – very much). - How believable do you find the news article?","Post-Interaction Questionnaire 2 / 2




News Evaluation

For each of the following questions, please indicate how you felt while reading and interpreting the news articles (1 – not at all, 7 – very much). - How clear and well-written do you find the news article?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Post-Interaction Questionnaire 1 / 2


Your Thinking Mode


For each of the following questions, please indicate how you felt while reading the news articles on a scale from 1 to 7.



Did you feel like your thought process was more like a... - Quick skim [1]:Slow, careful read [7]",Did you feel like you were... - Absorbing several details at once [1]:Focusing on one detail at a time [7],Did your thoughts feel more... - Spontaneous [1]:Deliberate  [7],Did your thinking felt... - Easy and automatic [1]:Like it required significant mental effort [7],Were you more likely to... - Make connections between details instinctively [1]:Apply a set of rules or criteria to evaluate details [7],Did you find yourself... - Sticking to your initial impressions [1]:Regularly updating your thoughts as you read more [7],"Post-Interaction Questionnaire 2 / 2




News Evaluation

For each of the following questions, please indicate how you felt while reading and interpreting the news articles (1 – not at all, 7 – very much). - Before reading the news article, how much knowledge did you have about the topic covered?","Post-Interaction Questionnaire 2 / 2




News Evaluation

For each of the following questions, please indicate how you felt while reading and interpreting the news articles (1 – not at all, 7 – very much). - How accurate do you find the news article?","Post-Interaction Questionnaire 2 / 2




News Evaluation

For each of the following questions, please indicate how you felt while reading and interpreting the news articles (1 – not at all, 7 – very much). - How biased do you think the news article is?","Post-Interaction Questionnaire 2 / 2




News Evaluation

For each of the following questions, please indicate how you felt while reading and interpreting the news articles (1 – not at all, 7 – very much). - How informative do you find the news article?","Post-Interaction Questionnaire 2 / 2




News Evaluation

For each of the following questions, please indicate how you felt while reading and interpreting the news articles (1 – not at all, 7 – very much). - How believable do you find the news article?","Post-Interaction Questionnaire 2 / 2




News Evaluation

For each of the following questions, please indicate how you felt while reading and interpreting the news articles (1 – not at all, 7 – very much). - How clear and well-written do you find the news article?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Post-Interaction Questionnaire 1 / 2


Your Thinking Mode


For each of the following questions, please indicate how you felt while reading the news articles on a scale from 1 to 7.



Did you feel like your thought process was more like a... - Quick skim [1]:Slow, careful read [7]",Did you feel like you were... - Absorbing several details at once [1]:Focusing on one detail at a time [7],Did your thoughts feel more... - Spontaneous [1]:Deliberate  [7],Did your thinking felt... - Easy and automatic [1]:Like it required significant mental effort [7],Were you more likely to... - Make connections between details instinctively [1]:Apply a set of rules or criteria to evaluate details [7],Did you find yourself... - Sticking to your initial impressions [1]:Regularly updating your thoughts as you read more [7],"Post-Interaction Questionnaire 2 / 2




News Evaluation

For each of the following questions, please indicate how you felt while reading and interpreting the news articles (1 – not at all, 7 – very much). - Before reading the news article, how much knowledge did you have about the topic covered?","Post-Interaction Questionnaire 2 / 2




News Evaluation

For each of the following questions, please indicate how you felt while reading and interpreting the news articles (1 – not at all, 7 – very much). - How accurate do you find the news article?","Post-Interaction Questionnaire 2 / 2




News Evaluation

For each of the following questions, please indicate how you felt while reading and interpreting the news articles (1 – not at all, 7 – very much). - How biased do you think the news article is?","Post-Interaction Questionnaire 2 / 2




News Evaluation

For each of the following questions, please indicate how you felt while reading and interpreting the news articles (1 – not at all, 7 – very much). - How informative do you find the news article?","Post-Interaction Questionnaire 2 / 2




News Evaluation

For each of the following questions, please indicate how you felt while reading and interpreting the news articles (1 – not at all, 7 – very much). - How believable do you find the news article?","Post-Interaction Questionnaire 2 / 2




News Evaluation

For each of the following questions, please indicate how you felt while reading and interpreting the news articles (1 – not at all, 7 – very much). - How clear and well-written do you find the news article?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Post-Reading Questionnaire 1 / 2



Your Thinking Mode


For each of the following questions, please indicate how you felt while reading the news articles on a scale from 1 to 7.



Did you feel like your thought process was more like a... - Quick skim [1]:Slow, careful read [7]",Did you feel like you were... - Absorbing several details at once [1]:Focusing on one detail at a time [7],Did your thinking felt... - Easy and automatic [1]:Like it required significant mental effort [7],Were you more likely to... - Make connections between details instinctively [1]:Apply a set of rules or criteria to evaluate details [7],Did you find yourself... - Sticking to your initial impressions [1]:Regularly updating your thoughts as you read more [7],"While reading the article, did your thoughts feel more... - Spontaneous [1]:Deliberate  [7]",Please explain why you felt this way while reading the article. Provide specific examples or reasons for your rating.,"Post-Reading Questionnaire 2 / 2

 

News Evaluation


For each of the following questions, please indicate how you felt while reading and interpreting the news articles (1 – not at all, 7 – very much). - Before reading the news article, how much knowledge did you have about the topic covered?","Post-Reading Questionnaire 2 / 2

 

News Evaluation


For each of the following questions, please indicate how you felt while reading and interpreting the news articles (1 – not at all, 7 – very much). - How accurate do you find the news article?","Post-Reading Questionnaire 2 / 2

 

News Evaluation


For each of the following questions, please indicate how you felt while reading and interpreting the news articles (1 – not at all, 7 – very much). - How biased do you think the news article is?","Post-Reading Questionnaire 2 / 2

 

News Evaluation


For each of the following questions, please indicate how you felt while reading and interpreting the news articles (1 – not at all, 7 – very much). - How informative do you find the news article?","Post-Reading Questionnaire 2 / 2

 

News Evaluation


For each of the following questions, please indicate how you felt while reading and interpreting the news articles (1 – not at all, 7 – very much). - How much do you trust the news article?","Post-Reading Questionnaire 2 / 2

 

News Evaluation


For each of the following questions, please indicate how you felt while reading and interpreting the news articles (1 – not at all, 7 – very much). - How clear and well-written do you find the news article?",Do you think the news article is propagandistic?,Why do you think so?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please indicate which passages you think contain propagandistic elements and which do not. All pa... - Does it contain propagandistic elements? - Ukrainian leader Vladimir Zelensky doesn't want meaningful negotiations and only seeks to prolong the conflict, Russian first deputy envoy to the UN Dmitry Polyansky has told RT","Please indicate which passages you think contain propagandistic elements and which do not. All pa... - Does it contain propagandistic elements? - Russia proposed holding a second round of direct talks in Istanbul on June 2, but Ukraine has yet to formally commit to attending the event.","Please indicate which passages you think contain propagandistic elements and which do not. All pa... - Does it contain propagandistic elements? - “They are making every effort to convince [US President Donald Trump] that Russia isn’t interested in peace,” Polyansky said in an interview on Friday.",Please indicate which passages you think contain propagandistic elements and which do not. All pa... - Does it contain propagandistic elements? - He suggested that Ukrainian leader Vladimir Zelensky is motivated by a desire to stay in power and avoid accountability,Please indicate which passages you think contain propagandistic elements and which do not. All pa... - Does it contain propagandistic elements? - He would also be held accountable for the embezzlement of the state budget and Western aid… That’s why he wants to avert this scenario any way he can.,Please indicate which passages you think contain propagandistic elements and which do not. All pa... - Does it contain propagandistic elements? - Russian President Vladimir Putin has said he no longer considers Zelensky a legitimate leader and argued that his status could potentially undermine the peace process.,"Please indicate which passages you think contain propagandistic elements and which do not. All pa... - Does it contain propagandistic elements? - ""Everything Kiev now does and says should be analyzed through [the lens] of Ukraine wanting to prolong the war,"" the diplomat added.","Please indicate which passages you think contain propagandistic elements and which do not. All pa... - Does it contain propagandistic elements? - Russia and Ukraine held their first direct talks in three years in Istanbul on May 16, agreeing to carry out a large prisoner exchange and each present ceasefire terms.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID28""}","{""ImportId"":""QID98_TEXT""}","{""ImportId"":""QID106""}","{""ImportId"":""QID107""}","{""ImportId"":""QID108""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID42""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID415""}","{""ImportId"":""QID105""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID45_2""}","{""ImportId"":""QID45_3""}","{""ImportId"":""QID45_4""}","{""ImportId"":""QID45_5""}","{""ImportId"":""QID45_6""}","{""ImportId"":""QID117_1""}","{""ImportId"":""QID119_3""}","{""ImportId"":""QID120_3""}","{""ImportId"":""QID297""}","{""ImportId"":""QID298_TEXT""}","{""ImportId"":""QID1218252771_FIRST_CLICK""}","{""ImportId"":""QID1218252771_LAST_CLICK""}","{""ImportId"":""QID1218252771_PAGE_SUBMIT""}","{""ImportId"":""QID1218252771_CLICK_COUNT""}","{""ImportId"":""QID1218252772_1""}","{""ImportId"":""QID1218252773_1""}","{""ImportId"":""QID1218252774_1""}","{""ImportId"":""QID1218252775_1""}","{""ImportId"":""QID1218252776_1""}","{""ImportId"":""QID1218252777_1""}","{""ImportId"":""QID1218252778_1""}","{""ImportId"":""QID1218252778_2""}","{""ImportId"":""QID1218252778_3""}","{""ImportId"":""QID1218252778_4""}","{""ImportId"":""QID1218252778_5""}","{""ImportId"":""QID1218252778_6""}","{""ImportId"":""QID396_FIRST_CLICK""}","{""ImportId"":""QID396_LAST_CLICK""}","{""ImportId"":""QID396_PAGE_SUBMIT""}","{""ImportId"":""QID396_CLICK_COUNT""}","{""ImportId"":""QID397_1""}","{""ImportId"":""QID398_1""}","{""ImportId"":""QID399_1""}","{""ImportId"":""QID400_1""}","{""ImportId"":""QID401_1""}","{""ImportId"":""QID402_1""}","{""ImportId"":""QID403_1""}","{""ImportId"":""QID403_2""}","{""ImportId"":""QID403_3""}","{""ImportId"":""QID403_4""}","{""ImportId"":""QID403_5""}","{""ImportId"":""QID403_6""}","{""ImportId"":""QID405_FIRST_CLICK""}","{""ImportId"":""QID405_LAST_CLICK""}","{""ImportId"":""QID405_PAGE_SUBMIT""}","{""ImportId"":""QID405_CLICK_COUNT""}","{""ImportId"":""QID406_1""}","{""ImportId"":""QID407_1""}","{""ImportId"":""QID408_1""}","{""ImportId"":""QID409_1""}","{""ImportId"":""QID410_1""}","{""ImportId"":""QID411_1""}","{""ImportId"":""QID412_1""}","{""ImportId"":""QID412_2""}","{""ImportId"":""QID412_3""}","{""ImportId"":""QID412_4""}","{""ImportId"":""QID412_5""}","{""ImportId"":""QID412_6""}","{""ImportId"":""QID300_FIRST_CLICK""}","{""ImportId"":""QID300_LAST_CLICK""}","{""ImportId"":""QID300_PAGE_SUBMIT""}","{""ImportId"":""QID300_CLICK_COUNT""}","{""ImportId"":""QID301_1""}","{""ImportId"":""QID302_1""}","{""ImportId"":""QID303_1""}","{""ImportId"":""QID304_1""}","{""ImportId"":""QID305_1""}","{""ImportId"":""QID306_1""}","{""ImportId"":""QID307_TEXT""}","{""ImportId"":""QID308_1""}","{""ImportId"":""QID308_2""}","{""ImportId"":""QID308_3""}","{""ImportId"":""QID308_4""}","{""ImportId"":""QID308_5""}","{""ImportId"":""QID308_6""}","{""ImportId"":""QID334""}","{""ImportId"":""QID335_TEXT""}","{""ImportId"":""QID339_FIRST_CLICK""}","{""ImportId"":""QID339_LAST_CLICK""}","{""ImportId"":""QID339_PAGE_SUBMIT""}","{""ImportId"":""QID339_CLICK_COUNT""}","{""ImportId"":""QID336#1_1""}","{""ImportId"":""QID336#1_2""}","{""ImportId"":""QID336#1_3""}","{""ImportId"":""QID336#1_4""}","{""ImportId"":""QID336#1_5""}","{""ImportId"":""QID336#1_6""}","{""ImportId"":""QID336#1_7""}","{""ImportId"":""QID336#1_8""}","{""ImportId"":""QID338_FIRST_CLICK""}","{""ImportId"":""QID338_LAST_CLICK""}","{""ImportId"":""QID338_PAGE_SUBMIT""}","{""ImportId"":""QID338_CLICK_COUNT""}","{""ImportId"":""PROLIFIC_PID""}"
2025-08-19 17:04:21,2025-08-19 17:04:42,IP Address,89.206.81.202,100,21,True,2025-08-19 17:04:43,R_8wpfrPIAmp3iQ8W,,,,,47.3976,8.5442,anonymous,EN,I agree and I want to participate,sdf,Desktop,Communication and/or Media,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-19 17:06:51,2025-08-19 17:07:09,IP Address,89.206.81.202,100,17,True,2025-08-19 17:07:09,R_2mEptIRT0lGweo9,,,,,47.3976,8.5442,anonymous,EN,I agree and I want to participate,dsfg,Desktop,Politics,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-19 17:25:01,2025-08-19 17:25:23,IP Address,74.102.197.139,100,22,True,2025-08-19 17:25:23,R_7lJ6sXAk6YSbZaF,,,,,40.7947,-74.4876,anonymous,EN,I agree and I want to participate,60e9fd8a2f52070be49cf317,Desktop,Politics,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-19 17:24:47,2025-08-19 17:25:23,IP Address,45.43.133.14,100,36,True,2025-08-19 17:25:24,R_3n3p9fvDBH1cPoZ,,,,,37.751,-97.822,anonymous,EN,I agree and I want to participate,67842c60c9cba1e154a69bbd,Desktop,Communication and/or Media,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-19 17:26:35,2025-08-19 17:27:03,IP Address,46.110.121.197,100,27,True,2025-08-19 17:27:03,R_62kMb5uDOB6L6Wq,,,,,41.8847,-88.3028,anonymous,EN,I agree and I want to participate,67abd57a8bc907775a0d58fa,Desktop,Politics,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-19 17:35:06,2025-08-19 17:36:36,IP Address,174.206.55.58,100,89,True,2025-08-19 17:36:36,R_50Jd5xFXSPeKGB1,,,,,37.2555,-80.0531,anonymous,EN,I agree and I want to participate,58462977d2be990001174ae3,Desktop,Communication and/or Media,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-19 17:26:38,2025-08-19 17:37:16,IP Address,69.194.186.72,100,637,True,2025-08-19 17:37:16,R_6Eskwn7dpNqiLdC,,,,,32.4644,-93.7207,anonymous,EN,I agree and I want to participate,631fdedf78d4f7b0a6b985ad,Desktop,Other,English,25 to 44,Male,Master's degree,United States,"Professionals – highly-skilled, degree-level work (e.g. doctor, lawyer, engineer, teacher, accountant)","Yes, I will",7,7,1,1,7,7,1,Multiple times a day,9,"online news websites,social media platforms (e.g. Facebook, Twitter, Telegram)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.637,92.476,118.6,5,7,7,7,4,4,4,4,6,3,6,7,7,0,0,88.225,0,7,7,4,4,4,4,"It's a bit of both. I was deliberately reading and paying attention to the article about Zelinsky, taking in each detail one at a time. But I also had spontaneous thoughts. When iit got to the part about Trump calling Zelinsky ""a dictator without elections,"" I couldn't help but think about how Trump has ""joked"" about going to war to avoid elections himself!",5,5,6,6,6,6,Yes,"The article frames Zelinsky as unreasonable and a warmonger, and clearly takes Russia's side in the conflict. The article has a very pro-Russia slant to it that comes through in the writing, since it covers the thoughts of a Russian diplomat.",1.322,50.253,68.399,3,Yes,No,Yes,Yes,Yes,Yes,Yes,No,1.322,50.253,68.399,3,
2025-08-19 17:36:32,2025-08-19 17:38:00,IP Address,70.226.123.140,100,87,True,2025-08-19 17:38:00,R_7IRJcyslTUCY4wU,,,,,38.6706,-90.3705,anonymous,EN,I agree and I want to participate,5ac4c730f69e940001d977e1,Desktop,Politics,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
